ticker,sector,signal_date,entry_date,exit_date,entry,stop,target,exit,status,ret_pct,score,hold_days
AUBANK,Bank,2023-12-21,2023-12-22,2024-01-17,771.0773339219032,741.8384510492599,829.55509966719,741.8384510492599,STOP_HIT,-4.091952063216109,85,18
GRASIM,Cement,2023-12-27,2023-12-28,2024-01-04,2098.2568436205634,2034.1990887786474,2226.3723533043953,2034.1990887786474,STOP_HIT,-3.352903415359942,85,6
ALKEM,Pharma,2024-01-04,2024-01-05,2024-01-10,5135.387193993505,4973.9439158984305,5458.273750183655,4973.9439158984305,STOP_HIT,-3.4437411045442397,70,4
VEDL,Metal,2024-01-08,2024-01-09,2024-01-23,222.3989457108168,213.52941300238007,240.13801112769028,213.52941300238007,STOP_HIT,-4.288118145114638,75,10
ONGC,Energy,2024-01-10,2024-01-11,2024-01-15,189.2009705986876,182.39885643986693,202.80519891632895,202.80519891632895,TARGET_HIT,6.890358630081839,75,3
INFY,IT,2024-01-15,2024-01-16,2024-02-16,1515.7542704008683,1462.425655792556,1622.4114996174933,1568.14404296875,EXPIRED,3.156349989634289,70,22
DLF,Realty,2024-01-17,2024-01-18,2024-01-23,756.4900175702853,727.924241560507,813.6215695898419,727.924241560507,STOP_HIT,-4.076094243983108,75,3
ICICIBANK,Bank,2024-01-23,2024-01-24,2024-01-24,1004.3805964528723,974.2963861465141,1064.5490170655885,974.2963861465141,STOP_HIT,-3.2952998308216293,100,1
IRCTC,Internet,2024-01-23,2024-01-24,2024-02-13,914.9936978967206,857.5929978516577,1029.7950979868465,857.5929978516577,STOP_HIT,-6.5733437593077255,60,14
COALINDIA,Metal,2024-01-24,2024-01-25,2024-02-02,327.6284542382257,313.3888574843285,356.10764774601995,356.10764774601995,TARGET_HIT,8.392527507725688,85,6
BPCL,Energy,2024-02-02,2024-02-05,2024-02-08,252.39452785178338,239.72643030545157,277.730722944447,277.730722944447,TARGET_HIT,9.738329795938395,70,4
BANKBARODA,Bank,2024-02-08,2024-02-09,2024-02-16,230.79380856340916,218.63539599908054,255.1106336920664,255.1106336920664,TARGET_HIT,10.236168747341555,90,6
ALKEM,Pharma,2024-02-13,2024-02-14,2024-02-26,5153.057031319771,4903.760088871637,5651.650916216039,4903.760088871637,STOP_HIT,-5.1378455921006205,75,9
POWERGRID,Power,2024-02-16,2024-02-19,2024-03-14,257.4472759429957,244.50431957226797,283.33318868445116,244.50431957226797,STOP_HIT,-5.32742020606719,85,18
BAJAJ-AUTO,Auto,2024-02-16,2024-02-19,2024-02-28,8013.550758308562,7774.079251426733,8492.49377207222,7774.079251426733,STOP_HIT,-3.2883320653274812,70,8
DIXON,CapGoods,2024-02-26,2024-02-27,2024-03-27,6729.415694617767,6448.849313207883,7290.548457437536,7290.548457437536,TARGET_HIT,8.038506466000694,70,20
ETERNAL,Retail,2024-02-28,2024-02-29,2024-03-04,156.4499969482422,147.30800404129738,174.73398276213177,174.73398276213177,TARGET_HIT,11.386792055316196,75,3
MOTHERSON,Auto,2024-03-04,2024-03-05,2024-03-11,79.79472344885508,76.27993322949814,86.82430388756896,76.27993322949814,STOP_HIT,-4.704790276151238,100,4
TATACONSUM,FMCG,2024-03-12,2024-03-13,2024-03-13,1188.2416206407192,1144.936753091985,1274.8513557381875,1144.936753091985,STOP_HIT,-3.9444496469820174,60,1
TRENT,Retail,2024-03-13,2024-03-14,2024-04-18,3890.2193119889907,3678.9566340880915,4312.744667790789,4076.85009765625,EXPIRED,4.497436100635633,60,22
INFY,IT,2024-03-14,2024-03-15,2024-03-19,1512.344570167545,1467.7887823824367,1601.4561457377617,1467.4191867817187,STOP_HIT,-3.2705785488322476,85,3
BAJAJ-AUTO,Auto,2024-03-21,2024-03-22,2024-04-26,8299.796277998757,7951.19363084223,8997.001572311812,8561.4296875,EXPIRED,2.852287125345299,85,22
BANKBARODA,Bank,2024-03-27,2024-03-28,2024-04-30,235.7130323962512,224.46247018078907,258.2141568271755,258.2141568271755,TARGET_HIT,9.245982333763468,70,21
TRENT,Retail,2024-04-22,2024-04-23,2024-04-30,4204.429089131089,4003.9878865823316,4605.311494228605,4605.311494228605,TARGET_HIT,9.234764330639798,100,6
DIVISLAB,Pharma,2024-04-26,2024-04-29,2024-05-07,3965.9592433106354,3838.07127815428,4221.735173623346,3838.07127815428,STOP_HIT,-3.524641437555442,70,6
ICICIBANK,Bank,2024-04-30,2024-05-02,2024-05-13,1115.1653793816274,1081.967509126975,1181.5611198909319,1081.967509126975,STOP_HIT,-3.27694591927351,70,8
ASHOKLEY,Auto,2024-04-30,2024-05-02,2024-05-17,93.1190122095028,89.86033258068022,99.63637146714797,99.63637146714797,TARGET_HIT,6.698956607252405,70,12
MARICO,FMCG,2024-05-07,2024-05-08,2024-06-05,572.0728437370955,552.5365743828401,611.1453824456063,611.1453824456063,TARGET_HIT,6.529993616419095,70,20
COALINDIA,Metal,2024-05-16,2024-05-17,2024-06-03,401.87276267309426,382.58912294794504,440.4400421233927,441.24177124305874,TARGET_HIT,9.4963863756523,100,11
NTPC,Power,2024-05-17,2024-05-21,2024-06-04,346.1241039153068,332.14158301650485,374.0891457129107,332.14158301650485,STOP_HIT,-4.33974202912587,85,11
BPCL,Energy,2024-06-03,2024-06-04,2024-06-04,298.77089799207806,283.87894629174656,328.55480139274107,283.87894629174656,STOP_HIT,-5.284405040924155,100,1
AUBANK,Bank,2024-06-05,2024-06-06,2024-07-08,667.4700536874687,633.098928500125,736.2123040621561,640.2731323242188,EXPIRED,-4.374627949673449,100,22
TORNTPHARM,Pharma,2024-06-05,2024-06-06,2024-07-08,2757.6306871953066,2640.1136290111026,2992.664803563714,2829.9404296875,EXPIRED,2.3221691986513697,85,22
PIDILITIND,Chemicals,2024-06-06,2024-06-07,2024-07-09,1526.2988536397268,1466.6712921885564,1645.5539765420672,1527.549560546875,EXPIRED,-0.2180562244303738,85,22
BOSCHLTD,Auto,2024-07-08,2024-07-09,2024-08-05,33847.02309048133,32389.97370864587,36761.12185415225,32389.97370864587,STOP_HIT,-4.604808071127586,75,19
ULTRACEMCO,Cement,2024-07-08,2024-07-09,2024-08-08,11213.255227755146,10800.798958702431,12038.167765860575,10963.30859375,EXPIRED,-2.5290283145118826,75,22
HINDALCO,Metal,2024-07-09,2024-07-10,2024-07-19,695.21283609943,669.3156705048657,747.0071672885587,669.3156705048657,STOP_HIT,-4.02507011519857,85,7
MARICO,FMCG,2024-07-19,2024-07-22,2024-08-06,656.8298557616401,631.6423180421058,707.2049312007089,631.6423180421058,STOP_HIT,-4.134712673090601,75,12
NTPC,Power,2024-08-05,2024-08-06,2024-09-05,389.74334304993414,372.45577371721123,424.31848171538,383.31402587890625,EXPIRED,-1.9496284761954639,90,22
CIPLA,Pharma,2024-08-06,2024-08-07,2024-08-29,1501.8171611918447,1452.9964163459967,1599.4586508835407,1599.4586508835407,TARGET_HIT,6.201556395467456,75,16
PIDILITIND,Chemicals,2024-08-08,2024-08-09,2024-08-12,1581.62892670384,1526.8557335453802,1691.17531302076,1526.8557335453802,STOP_HIT,-3.763087468475223,85,2
VOLTAS,CapGoods,2024-08-12,2024-08-13,2024-08-27,1568.8366597544973,1491.0612822735245,1724.3874147164427,1724.3874147164427,TARGET_HIT,9.615038254287544,85,10
ICICIBANK,Bank,2024-08-27,2024-08-28,2024-09-18,1203.1449974027116,1171.4391260851999,1266.5567400377354,1266.5567400377354,TARGET_HIT,4.970498798724499,75,16
TMPV,Auto,2024-08-29,2024-08-30,2024-09-06,1095.3676393528276,1048.8529332071816,1188.3970516441198,1048.8529332071816,STOP_HIT,-4.546492636310495,100,6
BHARTIARTL,Telecom,2024-09-05,2024-09-06,2024-09-12,1520.7869312087687,1476.0765854221304,1610.2076227820455,1610.2076227820455,TARGET_HIT,5.579896107615967,75,5
BIOCON,Pharma,2024-09-06,2024-09-09,2024-09-19,372.20659356841475,354.3674428583017,407.8848949886409,354.3674428583017,STOP_HIT,-5.092808891182121,100,9
MARICO,FMCG,2024-09-12,2024-09-13,2024-10-15,674.5263547553496,651.6862398831,720.2065844998489,672.2713623046875,EXPIRED,-0.6343075381361583,85,22
BANDHANBNK,Bank,2024-09-18,2024-09-19,2024-09-25,210.3386502881146,201.63411983538862,227.74771119356654,201.63411983538862,STOP_HIT,-4.4383409282140125,100,5
MRF,Auto,2024-09-19,2024-09-20,2024-10-07,136042.40079256977,132517.74700501564,143091.708367678,132517.74700501564,STOP_HIT,-2.8908494462166474,75,11
ALKEM,Pharma,2024-09-25,2024-09-26,2024-10-23,6090.173535871211,5874.741884450936,6521.036838711763,5874.741884450936,STOP_HIT,-3.8373647425870567,85,19
PERSISTENT,IT,2024-10-14,2024-10-15,2024-10-18,5616.19008410381,5374.094593662347,6100.3810649867355,5374.094593662347,STOP_HIT,-4.610671234698693,85,4
ASHOKLEY,Auto,2025-01-02,2025-01-03,2025-01-06,113.23701689735051,108.92228037398165,121.86648994408826,108.92228037398165,STOP_HIT,-4.110358698587213,100,2
SUNPHARMA,Pharma,2025-01-02,2025-01-03,2025-01-06,1843.7843901661874,1793.1606826822904,1945.0318051339818,1793.1606826822904,STOP_HIT,-3.0456413967868685,90,2
CANBK,Bank,2025-04-15,2025-04-16,2025-04-22,86.88791817830662,82.46883955126287,95.72607543239411,95.72607543239411,TARGET_HIT,9.871905875279808,100,4
EICHERMOT,Auto,2025-04-15,2025-04-16,2025-05-09,5421.199547430104,5208.90080635248,5845.797029585351,5173.049741038517,STOP_HIT,-4.8773966484820015,100,16
